time,geo,Sosiaalipalvelut,Terveyspalvelut,Kela-korvaukset,Eräät sote-tulonsiirrot,Väkiluku
2015,HUS - Uusimaa,1698398954,2634774824,824933795.3,639285414.3,1614339
2020,HUS - Uusimaa,1853238258,2864731134,879604971.8,691653520.7,1692721
2025,HUS - Uusimaa,2045404210,3125923806,934364968.9,742458025.8,1762641
2030,HUS - Uusimaa,2225580941,3366953576,982533190.6,793166011.7,1821711
2035,HUS - Uusimaa,2424875055,3596851862,1023661572,834621757.6,1870190
2040,HUS - Uusimaa,2548215291,3754095324,1054925236,862538646.7,1909463
2015,Varsinais-Suomi,571961093.6,863279936.6,276725897.4,258309892.2,477232
2020,Varsinais-Suomi,597616075.9,907154434.1,285832624.5,279452853.8,484598
2025,Varsinais-Suomi,640876443.2,966457174.3,295782304.6,297217917.7,491409
2030,Varsinais-Suomi,681989476.1,1020122755,303889115.8,314257384.4,497121
2035,Varsinais-Suomi,733246448.1,1073054261,309865296.4,326913816.9,500809
2040,Varsinais-Suomi,758463177.1,1098445796,312810989.2,329334323.8,502624
2015,Satakunta,300253309,424486860.3,130270663.8,186234785.2,223381
2020,Satakunta,309102309.4,436061034.6,131133504.9,197315932.2,221229
2025,Satakunta,329592090.7,455801012.6,132699292.9,205170344.1,219577
2030,Satakunta,345167062.3,470199181.8,133507279.1,211048504.6,217931
2035,Satakunta,366822158.1,484386128.7,133477441.2,212715362,216023
2040,Satakunta,372938676.9,485645549.6,132304657.9,207442122.3,213894
2015,Kanta-Häme,304671699.4,371084892.7,116895561.4,112690018.8,230457
2020,Kanta-Häme,315926851.2,386992405.4,120469111.9,122234513.4,233070
2025,Kanta-Häme,334544875.7,409193153.6,124403747.8,130793696.5,235272
2030,Kanta-Häme,350674031.6,427986111.6,127283726.4,138577977.5,235765
2035,Kanta-Häme,373127035.9,447595745.6,129326998.6,143712389.3,235942
2040,Kanta-Häme,384890383,457619859.5,130266437.1,144583625.7,235987
2015,Pirkanmaa,595182035.6,956871057.5,298549873.4,292603700.5,527288
2020,Pirkanmaa,631792254.7,1014366506,311205532.1,315726216.5,541593
2025,Pirkanmaa,683345639.2,1086663196,324997934.7,336420768.1,554165
2030,Pirkanmaa,729407924.1,1149766815,336505571.6,355532298.1,564489
2035,Pirkanmaa,788271549.6,1213683101,345630356.8,369367977.5,572276
2040,Pirkanmaa,818841547.3,1248052614,351173317.9,374469605.1,577836
2015,Päijät-Häme,251235624.2,389640565,116585452,188072187.1,212887
2020,Päijät-Häme,263000251.5,409917336.1,119540768,204573073.2,213369
2025,Päijät-Häme,281941383.7,437012924.6,122817034.9,216908183.4,214007
2030,Päijät-Häme,298265668.8,459024768.3,125122274.8,226976968.1,214344
2035,Päijät-Häme,318189430.8,479525523.6,126328200.1,232456519,214120
2040,Päijät-Häme,326108160.7,486792887.7,126399025.4,230778921.9,213488
2015,Kymenlaakso,250726403.8,322553917.1,103085675.6,185621548.6,172240
2020,Kymenlaakso,257177634.4,331639810.1,103642939.1,196992945.9,169680
2025,Kymenlaakso,271227914.1,346203025.8,104586072.9,206277017.8,167449
2030,Kymenlaakso,284068865.8,357894045.7,104911470.1,213076355.1,165317
2035,Kymenlaakso,301564493.7,369485863.1,104504834.9,215338254.8,163034
2040,Kymenlaakso,306655404.5,370664248.2,103189973.9,211074070.2,160604
2015,Etelä-Karjala,163433686.3,258844315.3,73866975.59,163251601.3,131355
2020,Etelä-Karjala,167774081.2,266404531.1,74247173.8,173953862.8,129898
2025,Etelä-Karjala,175801657.3,277987407.3,75080844.81,181490398.4,128780
2030,Etelä-Karjala,182513242.9,286984211.8,75520755.64,187166711.2,127697
2035,Etelä-Karjala,192154016.1,296327428.1,75545736.62,188657573,126498
2040,Etelä-Karjala,195736878.3,298323841.1,74904876.88,185095006.9,125143
2015,Etelä-Savo,141207564.3,214963108.7,67580817.22,184095679.7,103275
2020,Etelä-Savo,143984836.3,219957836.9,67434012.2,197401910.6,100851
2025,Etelä-Savo,151353955,229158642,67800413.94,208090367.4,98994
2030,Etelä-Savo,158200605.2,236655058,67919615.13,215033190.3,97405
2035,Etelä-Savo,167856685,244019270.9,67582746.79,214973420.2,95825
2040,Etelä-Savo,171210960.1,244543617.5,66518342.86,207919333.2,94178
2015,Itä-Savo,61842525.08,109544776.4,25270812.67,71299216.52,43644
2020,Itä-Savo,62805544.46,111059620.3,24881074,75483383.87,41966
2025,Itä-Savo,65471277.99,114333626.3,24713621.05,78599679.16,40618
2030,Itä-Savo,67969709.52,116831738.1,24473371.16,80491439.89,39540
2035,Itä-Savo,72069509.15,119660493.2,24141467.15,80021858.21,38603
2040,Itä-Savo,73155662.16,118917681.5,23555649.93,76493194.08,37687
2015,Pohjois-Karjala,210342046.7,339625735.5,102832029.8,150847612.5,168557
2020,Pohjois-Karjala,216716581,351648199.5,103862857.8,162723014.4,167253
2025,Pohjois-Karjala,228530302.9,368917472.1,105631055.5,172975499.8,166263
2030,Pohjois-Karjala,240720696,384395016.1,106966946.8,179120524.4,165351
2035,Pohjois-Karjala,255906036.9,398408945.8,107441406.8,179140514.9,164082
2040,Pohjois-Karjala,262791886.8,401587186.9,106430456.5,174282131.8,162388
2015,Pohjois-Savo,310715902.9,518093332.1,155749210.8,194125605.7,248396
2020,Pohjois-Savo,321367064.5,537489062.4,158367443.5,209103857.9,248698
2025,Pohjois-Savo,341493203.2,565985051.9,162100188,222350397.6,249141
2030,Pohjois-Savo,360870919.1,591707429,165227952.6,232464513.8,249350
2035,Pohjois-Savo,387836254.9,617692581.8,167178037,236355967.8,248901
2040,Pohjois-Savo,402121352.9,627920793.7,166976553.1,232333915,247688
2015,Keski-Suomi,288438257.5,447985339.9,147676608.9,191294614.7,251761
2020,Keski-Suomi,303765126.2,469127664.7,151713627,207365462.5,254632
2025,Keski-Suomi,327923183.1,497789717.8,156476146.2,221512232.6,256993
2030,Keski-Suomi,348453348.9,521333003.3,160157142.6,232655066.8,258655
2035,Keski-Suomi,376273059.2,544607197.4,162581760.6,236863795.8,259306
2040,Keski-Suomi,389276731.7,554314582.5,163247114.2,235598926.9,259147
2015,Etelä-Pohjanmaa,235635489.4,406632262.4,117770105.8,177975443.9,197980
2020,Etelä-Pohjanmaa,240864839.2,418424421.4,119317649.3,189979885,197530
2025,Etelä-Pohjanmaa,255133492.1,439004778.6,121985565.9,200697585.9,197615
2030,Etelä-Pohjanmaa,268140132.7,457032262.9,124158543.8,209196776.5,197711
2035,Etelä-Pohjanmaa,288017610.8,476198622.6,125469461,212527134.8,197507
2040,Etelä-Pohjanmaa,296940631.2,482845987.9,125342670.5,209628188.3,196933
2015,Vaasa,194830194.6,344690772,84393532.73,189552974.9,170315
2020,Vaasa,204617266.7,361341353.6,87046346.31,203287938.3,174294
2025,Vaasa,219361043.6,381830387,90003340.5,213837340.9,177872
2030,Vaasa,233994491.6,400744760.4,92533906.64,223421832.3,180698
2035,Vaasa,250639027.6,418443680.8,94445032.05,229451891.7,182700
2040,Vaasa,258258845,426247773.8,95397027.82,229629275.5,184000
2015,Keski-Pohjanmaa,96818368.35,147103813.1,44726334.34,65102083.42,78400
2020,Keski-Pohjanmaa,100783561.5,152705495.3,45516863.52,70424396.63,78700
2025,Keski-Pohjanmaa,107285308.2,160466308,46583318.75,74120515.7,79058
2030,Keski-Pohjanmaa,113274339,167006082,47382009.25,77167788.25,79252
2035,Keski-Pohjanmaa,120752892.3,173162348.3,47808177.71,78140774.17,79216
2040,Keski-Pohjanmaa,123591746.5,174840265.9,47784743.11,77017608.66,79062
2015,Pohjois-Pohjanmaa,443667051.4,747457072,240362129.8,273716206.5,407995
2020,Pohjois-Pohjanmaa,475803560.5,798251791.3,251906915.9,308886208.9,418780
2025,Pohjois-Pohjanmaa,518068193.7,857207826.7,263671582.8,340507562.9,427230
2030,Pohjois-Pohjanmaa,558575193.4,910529675.5,273280435.2,366312385.7,433570
2035,Pohjois-Pohjanmaa,609189322.5,962454648.6,280671473.6,381948029.9,438115
2040,Pohjois-Pohjanmaa,642634163.6,994289999.8,284689575.6,387464298,440968
2015,Kainuu,95666113.97,171497129.6,55447113.8,153974006.8,75397
2020,Kainuu,96901007.24,173679879.9,54569790.49,166480621.5,72695
2025,Kainuu,100569381.8,178871472,54339346.45,175657723.6,70675
2030,Kainuu,104256940.9,183663898.5,54037042.71,180695621.7,68935
2035,Kainuu,109859226.5,187874349.8,53402325.07,178224138,67399
2040,Kainuu,112776185.9,188073347,52259836.88,170063542.7,65961
2015,Länsi-Pohja,76374211.05,142842593.7,35755074.7,76374211.05,63189
2020,Länsi-Pohja,77754097.36,146118731.5,35602605.32,77754097.36,61657
2025,Länsi-Pohja,82031250.33,152589579.9,35794135.03,82031250.33,60520
2030,Länsi-Pohja,85741414.45,157944784.8,35856547.91,85741414.45,59555
2035,Länsi-Pohja,91604951.28,163316458.4,35655959.85,91604951.28,58639
2040,Länsi-Pohja,94258369.86,164324167.6,35094421.76,94258369.86,57692
2015,Lappi,162059381.8,261524561.6,78928473.98,213434547.2,117987
2020,Lappi,169816770,272698053.7,80199154.27,236822550.9,117843
2025,Lappi,183158472.6,289369813.3,82392967.9,258919759.5,118011
2030,Lappi,192589263.2,302033626.2,84191434.88,274395386.7,118087
2035,Lappi,207802760.2,315633113.5,85383615.78,277768249.7,117910
2040,Lappi,216762858.5,321523607.7,85418487.9,271100456.5,117474
